[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.StartupInfoLogger [StartupInfoLogger.java:55]  - trace_id=, span_id=, service_identifier=demo-user, Starting UserMainApplication using Java 1.8.0_342 on tasneem-Precision-5520 with PID 20106 (/home/tasneem/Downloads/CsvPoc-20220921T043412Z-001/CsvPoc/target/classes started by tasneem in /home/tasneem/Downloads/CsvPoc-20220921T043412Z-001/CsvPoc)
[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.SpringApplication [SpringApplication.java:635]  - trace_id=, span_id=, service_identifier=demo-user, No active profile set, falling back to default profiles: default
[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, The Class-Path manifest attribute in /home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-core-2.3.0.1.jar referenced one or more files that do not exist: file:/home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-api.jar
[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, The Class-Path manifest attribute in /home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0.1/jaxb-impl-2.3.0.1.jar referenced one or more files that do not exist: file:/home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0.1/jaxb-core.jar
[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2022-09-21 11:17:39.039] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-09-21 11:17:39.039] [WARN ] com.okta.spring.boot.oauth.env.OktaEnvironmentPostProcessorApplicationListener [OktaEnvironmentPostProcessorApplicationListener.java:38]  - trace_id=, span_id=, service_identifier=demo-user, Your Okta Issuer URL is missing. You can copy your domain from the Okta Developer Console. Follow these instructions to find it: https://bit.ly/finding-okta-domain
To fix this add the `okta.oauth2.issuer` property to your application environments.
[2022-09-21 11:17:40.040] [INFO ] org.springframework.data.repository.config.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:132]  - trace_id=, span_id=, service_identifier=demo-user, Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-09-21 11:17:40.040] [INFO ] org.springframework.data.repository.config.RepositoryConfigurationDelegate [RepositoryConfigurationDelegate.java:201]  - trace_id=, span_id=, service_identifier=demo-user, Finished Spring Data repository scanning in 7 ms. Found 0 JPA repository interfaces.
[2022-09-21 11:17:41.041] [INFO ] org.springframework.cloud.context.scope.GenericScope [GenericScope.java:283]  - trace_id=, span_id=, service_identifier=demo-user, BeanFactory id=bc2beb27-77e2-3ab0-98dc-096e777573e7
[2022-09-21 11:17:42.042] [INFO ] org.springframework.boot.web.embedded.tomcat.TomcatWebServer [TomcatWebServer.java:108]  - trace_id=, span_id=, service_identifier=demo-user, Tomcat initialized with port(s): 8085 (http)
[2022-09-21 11:17:42.042] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Initializing ProtocolHandler ["http-nio-8085"]
[2022-09-21 11:17:42.042] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Starting service [Tomcat]
[2022-09-21 11:17:42.042] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Starting Servlet engine: [Apache Tomcat/9.0.55]
[2022-09-21 11:17:42.042] [INFO ] org.apache.juli.logging.DirectJDKLog [DirectJDKLog.java:173]  - trace_id=, span_id=, service_identifier=demo-user, Initializing Spring embedded WebApplicationContext
[2022-09-21 11:17:42.042] [INFO ] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext [ServletWebServerApplicationContext.java:290]  - trace_id=, span_id=, service_identifier=demo-user, Root WebApplicationContext: initialization completed in 2485 ms
[2022-09-21 11:17:42.042] [WARN ] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration [JpaBaseConfiguration.java:219]  - trace_id=, span_id=, service_identifier=demo-user, spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-09-21 11:17:42.042] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:110]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Starting...
[2022-09-21 11:17:42.042] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:123]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Start completed.
[2022-09-21 11:17:42.042] [INFO ] org.hibernate.jpa.internal.util.LogHelper [LogHelper.java:31]  - trace_id=, span_id=, service_identifier=demo-user, HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-09-21 11:17:42.042] [INFO ] org.hibernate.Version [Version.java:44]  - trace_id=, span_id=, service_identifier=demo-user, HHH000412: Hibernate ORM core version 5.6.1.Final
[2022-09-21 11:17:42.042] [INFO ] org.hibernate.annotations.common.reflection.java.JavaReflectionManager [JavaReflectionManager.java:56]  - trace_id=, span_id=, service_identifier=demo-user, HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-09-21 11:17:42.042] [INFO ] org.hibernate.dialect.Dialect [Dialect.java:175]  - trace_id=, span_id=, service_identifier=demo-user, HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
[2022-09-21 11:17:43.043] [INFO ] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator [JtaPlatformInitiator.java:52]  - trace_id=, span_id=, service_identifier=demo-user, HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-09-21 11:17:43.043] [INFO ] org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:437]  - trace_id=, span_id=, service_identifier=demo-user, Initialized JPA EntityManagerFactory for persistence unit 'default'
